UID;Titel;"Autor Vorname";"Autor Nachname";"SS Indiziert";"zusätzl. Infos";Listen-Seitennummer;"Edition 1: Verlag";"Edition 1: Ort";"Edition 1: Jahr";"Edition 2: Verlag";"Edition 2: Ort";"Edition 2: Jahr"
book-a52ee152-9d8b-4044-b080-6fe3f7d800f2-de_DE-1;"Watch Tower Bible and Tract Society, Schweiz. Gesamtproduktion.";;;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";22;"Watch Tower Bible and Tract Society";Schweiz;;;;
book-b45e0d99-ab75-4695-84ea-5b5b6a645285-de_DE-1;"Franz Borgmeyer-Verlag, Hildesheim. Gesamtproduktion.";;;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";22;"Franz Borgmeyer";" Hildesheim";;;;
book-beabb8c5-9a08-4d00-97a7-92b2547af3bc-de_DE-1;"Büchergilde Gutenberg, Zürich. Gesamtproduktion.";;;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";22;"Büchergilde Gutenberg";Zürich;;;;
book-aa587b0e-e30e-4853-84d3-bcc626505010-de_DE-1;Waakzaamheid;;;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;"von Corcum & Comp.";Assen;1937-1940;;;
book-845e65a7-3476-4074-8603-86250bfbfc8b-de_DE-1;"Theologische Studien. Hrsg. v. Karl Barth.";;;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;"Evang. Buchh.";Zollikon-Zürich;;;;
book-ed940de2-95a5-43c0-97ab-61990805faab-de_DE-1;"Die Schweiz. Ein nationales Jahrbuch. Hrsg. v. d. Neuen Helvetischen Ges. Jg. 10. 1939.";;;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;Selbstverl.;Aarau;1938;;;
book-eed8e7c1-25b3-455e-a4df-5fe02ba8514a-de_DE-1;"Basler Predigten. Eine monatl. Predigtfolge, hrsg. v. Eduard Thurneysen u. Walter Lüthi.";;;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;Reinhardt;Basel;;;;
book-b04fa43d-bde9-49f0-960e-1e6dbbdca4e4-de_DE-1;"Lueg nit verby. Aarebote. Jg. 15. 1940. 16. 1941. ";;;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;Habegger;Derendingen;1939-40;;;
book-6de9ded3-801b-43d8-85a3-f2e3ad345c8e-de_DE-1;"Die internationalen verwandtschaftlichen Beziehungen der jüdischen Hochfinanz. Beih. 9.";;;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;"Dr. Heinrich Pudor";Leipzig;1940;;;
book-e9b374f1-c991-4eec-a4ad-3d219c57ecb2-de_DE-1;"Für Alle. Ein christlicher Hausfreund für d. Schweizervolk. Jg. 45. 1941. ";;;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;"Evang. Verl.";Zollikon;1940;;;
book-ba2be0df-2e0f-4b64-8eaa-fa78b6cd6775-de_DE-1;Hauptschriften;Huldreich;Zwingli;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;Zwingli-Verl.;Zürich;1940;;;
book-2e0b4e6e-9cf5-40bb-b449-68d09587efe1-de_DE-1;"sämtliche Schriften";"Hans von";Zwehl;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;;;;;;
book-aa6e650b-04a5-4dea-9861-924eae139162-de_DE-1;"sämtliche Schriften";Viktor;Zuckerkandl;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;;;;;;
book-908dc5e2-f71d-41bc-9522-15ef7b32e4e2-de_DE-1;"sämtliche Schriften";Otto;Zoff;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 168.";21;;;;;;
book-e009aee9-1ca8-48c1-81d7-e04763f5f3f8-de_DE-1;"sämtliche Schriften";Milly;Zirker;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;;;;;;
book-ea327ff9-dbf8-40f8-865d-0f9ed55f0156-de_DE-1;"sämtliche Schriften";Alfred;Ziehm;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;;;;;;
book-3c61069b-b086-4ada-be4d-8c3abe7d9fde-de_DE-1;"sämtliche Schriften";Alfred;Zeidler;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;;;;;;
book-b19b154a-de05-4b10-88df-32e65a95daea-de_DE-1;"sämtliche Schriften";Richard;Zaugg;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 166.";21;;;;;;
book-4df46c74-4677-449f-a161-98540551951c-de_DE-1;"Die misslungene Maskerade";"Andreas [Andreij]";"Saks [Zaks]";1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;"Deutscher Staatsverlag";Engels;1940;;;
book-f081daa1-cb4c-426c-bd7d-eda57cc65c12-de_DE-1;"sämtliche Schriften";"Hans von";Wyl;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 165.";21;;;;;;
book-28959f6c-e393-4687-b104-514c2b40f39d-de_DE-1;"Der Angefochtene. Ein Buch über Heinrich Pestalozzi";Karl;Wuerzburger;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;Zwingli-Verl.;Zürich;1940;;;
book-dd969619-e837-4b7e-9e6e-d5d87ffaba22-de_DE-1;ohne-titel;;"Wtorow, A. [dt. Namensform] s. Vtorov, A.";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;;;;;;
book-d0e3b8e5-d392-4bc8-a102-e1b9471cc87a-de_DE-1;"sämtliche Schriften";Ludwig;Wronkow;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;;;;;;
book-57d23c32-d694-46c7-a2b4-ddfedb08cc2c-de_DE-1;"Sohn dieses Landes. Roman";Richard;Wright;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;Humanitas;Zürich;1941;;;
book-120ac954-4c8b-434c-b4dd-3e5c317d8190-de_DE-1;ohne-titel;;"Wosnessenski, N. A. [dt. Namensform] s. Voznesenskij";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";21;;;;;;
book-49b2d3b8-e8e4-4544-bd34-81e0044f8c1d-de_DE-1;"sämtliche Schriften";Dorothy;Woodman;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
5 Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 164.";20;;;;;;
book-9ca9de34-dfa1-4cc4-88ed-dbb07f5a545e-de_DE-1;ohne-titel;;"Wolshenin, W. [dt. Namensform] s. Volženin, V.";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-9c550845-91ea-484e-a941-c079025509a8-de_DE-1;"sämtliche Schriften";Oskar;Wolfsberg;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-97b28ac7-7fe5-4ae2-a64a-955954761d1c-de_DE-1;"Die Wissenschaft im Lichte des Marxismus";Henri;"Wallon [u. a.]";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;"Büchergilde Gutenberg";"Zürich, Prag";1937;;;
book-568832f0-dc64-4b23-8b6b-60b861c23229-de_DE-1;"Das große Ärgernis";Hans;Wirtz;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;Tyrolia;"Innsbruck, Wien, München";1936;;;
book-d5607bb8-2476-46d1-928c-92f96d341c40-de_DE-1;"Englands Aufstieg und Niedergang nach den Prophezeiungen des Michel Nostradamus";Bruno;Winkler;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;Hummel;Leipzig;1940;;;
book-29b22c47-cb6c-4c13-87dc-2b8c654dcbea-de_DE-1;"sämtliche Schriften";Jörg;Willenbacher;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 162.";20;;;;;;
book-a1855881-9ab5-40d0-b3d1-400ae623f40c-de_DE-1;"sämtliche Schriften";Heinz;Wieleck;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S.162.";20;;;;;;
book-9e57e151-4c6b-4481-a4bd-faa0e7b964f3-de_DE-1;"sämtliche Schriften";Paul;Weyland;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-3a7c731a-0cbe-408a-ab07-33b82c324cca-de_DE-1;" Die deutsche Plastik der Gegenwart";"Bruno Erich";Werner;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;"Rembrandt-Verl. = Kunstbücher d. Volkes. [7.]";Berlin;1940;;;
book-fde9320c-778d-4c2c-be59-58c788e4819f-de_DE-1;"Der Landstreicher";Dora;Wentscher;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;"Meshdunarodnaja kniga = Kleine Bibliothek";Moskau;"1940	";;;
book-f0e7acdf-fdf7-4379-93aa-809d2d242f41-de_DE-1;"sämtliche Schriften";Lisa;Wenger;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-da51debf-a528-4dd5-aeeb-3b97b3df7cb8-de_DE-1;"sämtliche Schriften";Robert;Weissmann;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-952042b1-f5d9-492a-b97f-3f24410fbbb2-de_DE-1;"Weissbuch der polnischen Regierung s. Beziehungen, Die polnisch-deutschen u. die polnisch-sowjetrussischen.";;;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
